#,Gym Name,Rating,Reviews,City,State
301,Anytime Fitness,4.8,145,San Jose,CA
302,Elite Spartans Gym,5.0,232,San Jose,CA
303,Hyper Strength and Conditioning,5.0,145,San Jose,CA
304,Backyard Barbell,4.9,60,San Jose,CA
305,WarFitness Bay Area,5.0,42,San Jose,CA
306,Villa Sport Athletic Club,4.1,799,San Jose,CA
307,Grappling Strength & Performance,5.0,154,San Jose,CA
308,Elite Pro Fitness,4.2,54,San Jose,CA
309,Brick House Fitness,5.0,85,San Jose,CA
310,X-treme Athletics,4.8,157,San Jose,CA
311,Method3 Fitness,5.0,272,San Jose,CA
312,"Forma Gym - 40,000 Sq. Ft. Facility - All Inclusive Membership -15+ Amenities",4.4,521,San Jose,CA
313,BARBELL ATHLETIC,5.0,19,San Jose,CA
314,Gold's Gym San Jose (Hamilton),4.6,108,San Jose,CA
315,BoneSmart Pilates,5.0,4,San Jose,CA
316,Orangetheory Fitness,4.5,317,San Jose,CA
317,Elevate Fitness Bay Area,5.0,14,San Jose,CA
318,Hills Training,4.9,124,San Jose,CA
319,Pacific Spin & Strength,4.9,32,San Jose,CA
320,Focus Fitness Club,4.5,163,San Jose,CA
321,WARCAT Strength,4.6,51,San Jose,CA
322,Red Dot Fitness,4.8,28,San Jose,CA
323,24 Hour Fitness,4.4,"1,171",San Jose,CA
324,Thunder Fitness San Jose,4.8,23,San Jose,CA
325,The Premise Strength + Performance,5.0,49,San Jose,CA
326,Unbound Fitness & Wellness,4.9,37,San Jose,CA
327,American Barbell Clubs,4.1,108,San Jose,CA
328,FIIT60,5.0,69,San Jose,CA
329,"HOTWORX - San Jose, CA - Downtown",4.8,74,San Jose,CA
330,Hella Strength,4.9,14,San Jose,CA
331,Bodied,5.0,32,San Jose,CA
332,The Field Fitness,5.0,40,San Jose,CA
333,Kinetic Performance Institute x,4.5,22,San Jose,CA
334,Barry's Santana Row,4.7,105,San Jose,CA
335,Almaden Valley Athletic Club,4.5,102,San Jose,CA
336,GYMGUYZ Silicon Valley,4.8,191,San Jose,CA
337,Lux Lift Gym,5.0,11,San Jose,CA
338,Standard Strength,5.0,83,San Jose,CA
339,Hyde Park Gym,4.8,181,Austin,TX
340,Korrect Fitness,4.9,342,Austin,TX
341,East Austin Athletic Club,4.9,213,Austin,TX
342,FeV Iron Vault Gym,4.9,160,Austin,TX
343,RvE Fitness,4.8,51,Austin,TX
344,Los Campeones Gym Austin North,4.8,285,Austin,TX
345,24 Hour Fitness,4.2,989,Austin,TX
346,FIT Austin,4.9,63,Austin,TX
347,Austin Simply Fit,5.0,384,Austin,TX
348,Gym Elite,4.9,15,Austin,TX
349,HIT Athletic,4.7,158,Austin,TX
350,Forge Strength Austin,4.9,60,Austin,TX
351,Mōtiv Fitness,4.8,121,Austin,TX
352,Castle Hill Fitness,4.7,104,Austin,TX
353,Life Time,4.4,76,Austin,TX
354,Barry's Austin,4.8,215,Austin,TX
355,Athletic Outcomes,4.9,241,Austin,TX
356,SoLa CrossFit,4.9,161,Austin,TX
357,Atos Austin Brazilian Jiu Jitsu,5.0,86,Austin,TX
358,GrassIron,4.9,58,Austin,TX
359,MADabolic Austin South,4.9,272,Austin,TX
360,Austin Barbell Club (South),4.9,154,Austin,TX
361,Atomic Athlete,5.0,346,Austin,TX
362,HEAT Bootcamp,5.0,186,Austin,TX
363,F45 Training South Shore Austin,4.9,249,Austin,TX
364,Anytime Fitness,4.2,59,Austin,TX
365,Planet Fitness,4.2,"1,499",Austin,TX
366,Kollective,4.8,82,Austin,TX
367,Grounded Strength,4.9,31,Austin,TX
368,MOVE Austin Fitness,5.0,10,Austin,TX
369,Townlake YMCA,4.7,"1,190",Austin,TX
370,Squatch Frontier Fitness,4.7,80,Austin,TX
371,Dane's Body Shop - Hyde Park,5.0,56,Austin,TX
372,Travis County Strength,5.0,80,Austin,TX
373,Evolve Personal Fitness,4.9,38,Austin,TX
374,AKT,4.8,38,Austin,TX
375,Rō Fitness,4.8,34,Austin,TX
376,TruFusion South Austin,4.8,570,Austin,TX
377,Los Campeones Gym Austin South,4.7,163,Austin,TX
378,Heavy Mettle Fitness,5.0,223,Austin,TX
379,Train 4 the Game,4.9,78,Austin,TX
380,LA Fitness,4.1,"1,505",Austin,TX
381,Atomic Outpost - North Austin,5.0,78,Austin,TX
382,Lift ATX,4.4,373,Austin,TX
383,Anytime Fitness,4.9,669,Jacksonville,FL
384,Iron House Gym Jacksonville,4.8,181,Jacksonville,FL
385,Results Fitness Gym Jax,4.8,57,Jacksonville,FL
386,Snap Fitness Jacksonville,4.7,272,Jacksonville,FL
387,Florida Extreme Fitness Center,4.7,109,Jacksonville,FL
388,EnerGYM NorthJAX,4.9,375,Jacksonville,FL
389,Lift 365 Fitness,4.9,33,Jacksonville,FL
390,Chuze Fitness,4.3,286,Jacksonville,FL
391,SoFit Athletics,5.0,93,Jacksonville,FL
392,Planet Fitness,4.5,83,Jacksonville,FL
393,Trinity Fitness - Riverside,4.9,53,Jacksonville,FL
394,MyFit Decisions,4.8,55,Jacksonville,FL
395,Definition Fitness,5.0,10,Jacksonville,FL
396,Myomass Strength Training,5.0,92,Jacksonville,FL
397,LA Fitness,4.0,733,Jacksonville,FL
398,Winston Family YMCA,4.6,"1,554",Jacksonville,FL
399,Crunch Fitness - Regency Park,4.5,499,Jacksonville,FL
400,Planet fitness (Commerce Center),4.4,875,Jacksonville,FL
