#,Gym Name,Rating,Reviews,City,State
801,2XS Fitness Center,4.5,206,Miami,FL
802,DBC Fitness,4.9,60,Miami,FL
803,UHealth Fitness and Wellness Center,4.7,253,Miami,FL
804,Equinox South Beach,4.0,285,Miami,FL
805,Planet Fitness,4.4,204,Miami,FL
806,Anatomy,4.5,350,Miami,FL
807,BE SMART Fitness Lab,4.8,22,Miami,FL
808,Barry's Miami Midtown,4.5,209,Miami,FL
809,Freedom Fitness,4.6,150,Miami,FL
810,Core Fitness Miami,4.9,77,Miami,FL
811,Gallo 8 Gym,4.5,137,Miami,FL
812,The Power Gym,4.4,48,Miami,FL
813,Raw Fit 305,4.8,144,Miami,FL
814,Wynwood Fitness Club / Miami CrossFit WFC,5.0,71,Miami,FL
815,Monster Cast Fitness,5.0,223,Miami,FL
816,Sweat Equity Fitness of Miami,5.0,48,Miami,FL
817,Downtown Strength and Conditioning,5.0,51,Miami,FL
818,War Fit Miami,4.6,63,Miami,FL
819,Barry's Miami Beach,4.7,223,Miami,FL
820,City Zero Miami,4.8,136,Miami,FL
821,The Refinery,4.9,367,Atlanta,GA
822,The Loft Athletic Club,4.6,246,Atlanta,GA
823,The Forum Athletic Club,4.6,167,Atlanta,GA
824,The Hidden Gym,4.9,75,Atlanta,GA
825,Gravity Fitness,4.7,85,Atlanta,GA
826,LIV Fitness,4.9,164,Atlanta,GA
827,The Training Room ATL,4.7,126,Atlanta,GA
828,Catalyst Fitness,4.8,55,Atlanta,GA
829,E.F.F.E.C.T Fitness,4.9,572,Atlanta,GA
830,OxFit Grant Park,4.9,129,Atlanta,GA
831,Snap Fitness Atlanta (Glenwood Park),4.8,870,Atlanta,GA
832,Urban Body Fitness,4.7,138,Atlanta,GA
833,Fit360 Total Training,4.9,68,Atlanta,GA
834,Authentic Fitness Atlanta,4.9,41,Atlanta,GA
835,I Am/I Can Strength and Conditioning Gym,5.0,84,Atlanta,GA
836,The Union Fit Hub,4.6,66,Atlanta,GA
837,Clarity Fitness I Inman Park,4.6,71,Atlanta,GA
838,District Fitness,4.8,102,Atlanta,GA
839,RPM Fitness at Bank of America Plaza,4.4,37,Atlanta,GA
840,Orangetheory Fitness,4.8,242,Atlanta,GA
841,M3 Yoga & Hot Pilates Atlanta,5.0,189,Atlanta,GA
842,Brick House Strength & Conditioning,5.0,46,Atlanta,GA
843,ARMOURBODY,5.0,132,Atlanta,GA
844,191 Resolution Fitness,4.7,54,Atlanta,GA
845,Gymnetics Fitness,4.8,124,Atlanta,GA
846,Carbon Performance | Atlanta,4.7,201,Atlanta,GA
847,Noble Clay Fitness Summerhill,5.0,72,Atlanta,GA
848,BACH Fitness,4.9,149,Atlanta,GA
849,The Rack Athletic Performance Center,4.9,100,Atlanta,GA
850,Myformula360 Fitness & Personal Training Studio,4.9,37,Atlanta,GA
851,Phoenix Athletic Club,4.5,18,Atlanta,GA
852,Lion Chaser Fitness,4.9,43,Atlanta,GA
853,Ultimate Bodies By Carlos,5.0,65,Atlanta,GA
854,Sweat Equity Fitness of Atlanta,4.9,31,Atlanta,GA
855,Noble Clay Fitness City of Refuge,5.0,29,Atlanta,GA
856,Research and Development Gym,4.6,36,Atlanta,GA
857,X3 Sports - Inman Park,4.7,496,Atlanta,GA
858,Barry’s Buckhead,4.8,179,Atlanta,GA
859,MADabolic Atlanta,4.9,180,Atlanta,GA
860,Elevate Fitness & Wellness,4.5,17,Atlanta,GA
861,D1 Training Peachtree Corners,5.0,13,Atlanta,GA
862,Heat Personal Training,4.7,41,Atlanta,GA
863,Atlanta Barbell,4.7,133,Atlanta,GA
864,Village Fitness,4.2,189,Atlanta,GA
865,Piedmont Atlanta Fitness Center,4.4,73,Atlanta,GA
866,LA Fitness,4.0,791,Atlanta,GA
867,Plyo Box Fitness,5.0,10,Atlanta,GA
868,Peachtree Gym,4.6,45,Atlanta,GA
869,R'House Fitness LLC,5.0,124,Atlanta,GA
870,Life Time,4.0,90,Atlanta,GA
871,Move Fitness Complex,5.0,120,Atlanta,GA
872,Lynx Fitness Club,4.9,777,Boston,MA
873,Backyard Boston,4.9,139,Boston,MA
874,Elevate Fitness Boston,5.0,133,Boston,MA
875,Rebel Athletic Club,4.9,40,Boston,MA
876,Republic Fitness,4.6,60,Boston,MA
877,BronCore Fitness,5.0,229,Boston,MA
878,Ethos Fitness + Performance,5.0,99,Boston,MA
879,Gym Hub,5.0,70,Boston,MA
880,Back Bay Fit,5.0,55,Boston,MA
881,MYSTRYDE Athletic Club South Boston,5.0,139,Boston,MA
882,Equinox Seaport,4.1,131,Boston,MA
883,1 More Rep Athletics,4.9,114,Boston,MA
884,Amplify Fitness,5.0,59,Boston,MA
885,Elite Home Fitness,4.7,160,Boston,MA
886,Peter Welch's Gym,4.9,378,Boston,MA
887,Parker Cote Elite Fitness,5.0,37,Boston,MA
888,Lifted Fitness + Performance Boston,5.0,85,Boston,MA
889,B/SPOKE Downtown Boston,4.9,157,Boston,MA
890,SoWa Health + Wellness,4.9,98,Boston,MA
891,Orangetheory Fitness,4.5,138,Boston,MA
892,Boston Yoga Union - Back Bay,5.0,60,Boston,MA
893,Invictus Boston - Columbus,4.9,126,Boston,MA
894,EverybodyFights FiDi,4.9,206,Boston,MA
895,Beacon Hill Athletic Clubs,4.6,106,Boston,MA
896,EverybodyFights,4.9,397,Boston,MA
897,Invictus Boston - Fenway,4.8,100,Boston,MA
898,Healthworks Fitness Back Bay,4.6,163,Boston,MA
899,Barry's Boston Back Bay,4.8,121,Boston,MA
900,Redemption Strength & Conditioning,5.0,38,Boston,MA
