#,Gym Name,Rating,Reviews,City,State
1001,MUV Fitness SE Portland,4.7,"3,166",Portland,OR
1002,Peak Performance - NE Portland Gym,4.9,256,Portland,OR
1003,United Athletic Club - Eastside,4.9,136,Portland,OR
1004,PDX Fitness Zone,4.9,77,Portland,OR
1005,Loprinzi's Gym,4.7,153,Portland,OR
1006,Barry's Portland,4.9,127,Portland,OR
1007,Vive Fitness,5.0,108,Portland,OR
1008,Portland Integrative Fitness,5.0,108,Portland,OR
1009,Multnomah Athletic Club,4.4,442,Portland,OR
1010,United Athletic Club - Sellwood,4.8,196,Portland,OR
1011,Lone Fir Fitness,5.0,169,Portland,OR
1012,Portland Strength Collective,4.9,32,Portland,OR
1013,Peak Performance - N Portland Gym,4.8,97,Portland,OR
1014,Fulcrum Fitness,4.8,95,Portland,OR
1015,Industrial Strength Gym: Fitness & Jiu Jitsu,4.9,179,Portland,OR
1016,Movement Portland,4.7,824,Portland,OR
1017,Strength Union | Portland Gym,5.0,96,Portland,OR
1018,Hollywood Fitness,4.5,333,Portland,OR
1019,Anytime Fitness,4.9,122,Portland,OR
1020,Stafford Hills Club,4.5,100,Portland,OR
1021,Orangetheory Fitness,4.7,262,Portland,OR
1022,Village Fit,4.9,68,Portland,OR
1023,PDXstrength,5.0,84,Portland,OR
1024,IRONSIDE TRAINING | Portland,4.9,107,Portland,OR
1025,Blue House Fitness,4.9,98,Portland,OR
1026,Evolution Healthcare and Fitness,4.9,257,Portland,OR
1027,Lloyd Athletic Club Personal Training,5.0,83,Portland,OR
1028,The Recovery Gym,4.8,24,Portland,OR
1029,Fulcrum Fitness - Hawthorne,4.9,61,Portland,OR
1030,Rose City Barbell,4.9,91,Portland,OR
1031,PDXFIT,5.0,54,Portland,OR
1032,Sunset Athletic Club,4.4,208,Portland,OR
1033,Fitness Union Pdx,4.9,28,Portland,OR
1034,Me Fitness Studios,4.5,118,Portland,OR
1035,The Green Microgym-Belmont,4.9,36,Portland,OR
1036,Portland Rock Gym - Northeast,4.8,658,Portland,OR
