#,Gym Name,Rating,Reviews,City,State
187,Alamo 180,5.0,17,San Antonio,TX
188,Texas Muscle & Fitness LLC,4.8,148,San Antonio,TX
189,Anytime Fitness,4.4,131,San Antonio,TX
190,YMCA - D.R. Semmes Family YMCA at TriPoint,4.7,425,San Antonio,TX
191,King William District CrossFit,4.8,73,San Antonio,TX
192,Gold's Gym San Antonio Crossroads,4.1,536,San Antonio,TX
193,Mission CrossFit SA,5.0,73,San Antonio,TX
194,Medina-Chapman Fitness Center,4.5,248,San Antonio,TX
195,Rebel Athletics & Fitness Club,4.9,50,San Antonio,TX
196,Planet Fitness,4.4,934,San Antonio,TX
197,San Antonio College Gym,4.3,27,San Antonio,TX
198,Gold's Gym San Antonio Babcock,4.1,439,San Antonio,TX
199,WellFIT Private Fitness/Rehab San Antonio,4.6,21,San Antonio,TX
200,COREFIT Pilates & Barre- Alamo Heights,4.8,117,San Antonio,TX
