#,Gym Name,Rating,Reviews,City,State
101,Banyan on Washington,4.0,83,Phoenix,AZ
102,Domus,4.3,168,Phoenix,AZ
103,Evolve Fitness PHL,5.0,165,Philadelphia,PA
104,PWRBLD Gym Philadelphia,4.9,354,Philadelphia,PA
105,Retro Fitness,4.6,586,Philadelphia,PA
106,City Fitness,4.6,516,Philadelphia,PA
107,City Fitness - Old City,4.8,294,Philadelphia,PA
108,"F45 Training Center City, Philadelphia",4.9,261,Philadelphia,PA
109,Iron Works Fitness,4.9,114,Philadelphia,PA
110,City Fitness - East Market,4.6,693,Philadelphia,PA
111,MASS F.I.T.,5.0,116,Philadelphia,PA
112,Earn Everything Gym,4.8,103,Philadelphia,PA
113,Astro Gym,5.0,83,Philadelphia,PA
114,"Platoon Fitness, Philadelphia",5.0,76,Philadelphia,PA
115,Arena Fitness & Performance,4.9,75,Philadelphia,PA
116,Fit Gym,4.5,215,Philadelphia,PA
117,Barry's Philadelphia,4.8,104,Philadelphia,PA
118,Fitness Works Philadelphia,4.4,209,Philadelphia,PA
119,City Fitness - Fairmount,4.7,457,Philadelphia,PA
120,X-Force Philadelphia,5.0,25,Philadelphia,PA
121,Philly Fitness of Overbrook Park,4.5,157,Philadelphia,PA
122,Level 1 Fitness,4.7,58,Philadelphia,PA
123,El Idrissi Strength Dojo,5.0,53,Philadelphia,PA
124,Orangetheory Fitness,4.6,199,Philadelphia,PA
125,Rippedphl,4.9,195,Philadelphia,PA
126,Fusion Gyms,4.3,369,Philadelphia,PA
127,"OpenBox Athletics | CrossFit, Boot Camp, Small Group Fitness Gym",4.9,170,Philadelphia,PA
128,BAMN Fitness,4.9,106,Philadelphia,PA
129,Philly Fitness on Ridge,4.6,66,Philadelphia,PA
130,The Summit Personal Training Studios - Rittenhouse Square,5.0,185,Philadelphia,PA
131,Body World Fitness,4.6,69,Philadelphia,PA
132,Leverage Fitness,5.0,88,Philadelphia,PA
133,Requisite Fitness,4.9,38,Philadelphia,PA
134,Warhorse Barbell Club,5.0,161,Philadelphia,PA
135,G-Strength (Queen Village),5.0,262,Philadelphia,PA
136,Iron Works Fitness River Wards,4.7,65,Philadelphia,PA
137,Optimal Sport 1315 - Gym,4.4,90,Philadelphia,PA
138,Warhorse Barbell Club South,5.0,72,Philadelphia,PA
139,Philly Fitness on North Broad,4.7,76,Philadelphia,PA
140,City Fitness - East Passyunk,4.5,478,Philadelphia,PA
141,The Gym by Brandon RaSean,5.0,111,Philadelphia,PA
142,The Sporting Club at The Bellevue,4.1,180,Philadelphia,PA
143,Elevate Health & Performance,5.0,63,Philadelphia,PA
144,Philly Fitness on Girard,5.0,14,Philadelphia,PA
145,Dan Campos Fitness,4.6,116,Philadelphia,PA
146,G-Strength (Logan Square),5.0,120,Philadelphia,PA
147,YardOut Fit Club Philly,4.9,39,Philadelphia,PA
148,Fitler Club,4.6,305,Philadelphia,PA
149,Drexel University Recreation Center,4.5,368,Philadelphia,PA
150,Swift Fit Speed and Strength Training Academy,4.5,47,Philadelphia,PA
151,Koa Strength Athletic Club,5.0,23,Philadelphia,PA
152,Front Street Gym,4.7,95,Philadelphia,PA
153,City Fitness - Graduate Hospital,4.4,505,Philadelphia,PA
154,War House Gym San Antonio,4.7,278,San Antonio,TX
155,ELEMENT LUXURY FITNESS,5.0,13,San Antonio,TX
156,EōS Fitness,4.9,170,San Antonio,TX
157,TruFit Athletic Clubs - Park North Center,4.7,"4,144",San Antonio,TX
158,Lyceum Gym,4.9,30,San Antonio,TX
159,Texas Iron Gym - Cold Plunge,5.0,147,San Antonio,TX
160,TruFit Athletic Clubs - SW Military/Flores,4.6,"1,979",San Antonio,TX
161,TruFit Athletic Clubs - S. New Braunfels Ave.,4.7,"2,631",San Antonio,TX
162,Joe's Gym,4.8,84,San Antonio,TX
163,Fitness Connection,4.9,"3,224",San Antonio,TX
164,TruFit Athletic Clubs - SW Military/Zarzamora,4.8,"2,485",San Antonio,TX
165,Doghouse Fitness,4.7,61,San Antonio,TX
166,House Of ALIO,5.0,92,San Antonio,TX
167,Your Fitness 365 A 24 Hour Gym,4.3,75,San Antonio,TX
168,Body Shop Gym LLC,4.8,38,San Antonio,TX
169,TejasFit,5.0,63,San Antonio,TX
170,Nexxt Fit 210,4.9,21,San Antonio,TX
171,CoreFit San Antonio,4.9,131,San Antonio,TX
172,EnergyX Fitness,5.0,22,San Antonio,TX
173,Rodrigo Pinheiro Brazilian Jiu-Jitsu - San Antonio,4.9,149,San Antonio,TX
174,Studio 1604 Pilates and Fitness,4.8,36,San Antonio,TX
175,TrainFit,4.8,28,San Antonio,TX
176,River City Strength,5.0,139,San Antonio,TX
177,Fieldhouse San Antonio,4.6,32,San Antonio,TX
178,Global Fitness Center,4.6,57,San Antonio,TX
179,LivingStone Athletics,4.9,61,San Antonio,TX
180,Alfa Fitness,4.7,68,San Antonio,TX
181,Fit Bound Transformations Gym,4.8,42,San Antonio,TX
182,Muscle Warehouse,5.0,127,San Antonio,TX
183,Walls Next Level Fitness,4.9,64,San Antonio,TX
184,Watchdog Strength Gym,5.0,150,San Antonio,TX
185,Ferocious Fitness Boxing Gym,4.9,109,San Antonio,TX
186,Centro Fitness,4.5,165,San Antonio,TX
