#,Gym Name,Rating,Reviews,City,State
201,Prime Fitness,4.8,189,San Diego,CA
202,War House Gym,5.0,399,San Diego,CA
203,Anytime Fitness Downtown San Diego,4.7,407,San Diego,CA
204,HIVE Training Club,4.9,44,San Diego,CA
205,Ocean Pacific Gym and Wellness,4.8,300,San Diego,CA
206,Infinite Fitness,4.9,36,San Diego,CA
207,Hardcore Fitness Downtown San Diego,4.7,82,San Diego,CA
208,The Anvil Gym,5.0,376,San Diego,CA
209,Performance360 | Strength & Conditioning Gym,4.9,106,San Diego,CA
210,San Diego Strength Club,5.0,21,San Diego,CA
211,Hardcore Fitness Convoy,4.9,79,San Diego,CA
212,EōS Fitness,4.1,"1,963",San Diego,CA
213,Renegade,4.8,334,San Diego,CA
214,REVEL FIT CLUB @ MARA,5.0,785,San Diego,CA
215,The Yard Gym Normal Heights,4.8,36,San Diego,CA
216,Boulevard Fitness,4.0,281,San Diego,CA
217,C4FIT,4.9,206,San Diego,CA
218,Grinder Gym San Diego,4.9,171,San Diego,CA
219,Joe Dell Training,5.0,36,San Diego,CA
220,Orangetheory Fitness,4.8,317,San Diego,CA
221,BFT Little Italy,4.9,238,San Diego,CA
222,The Movement Warehouse,5.0,124,San Diego,CA
223,North Park Fitness,4.6,147,San Diego,CA
224,IHT Factor Training - San Diego Downtown,5.0,179,San Diego,CA
225,AquaVie Fitness + Wellness Club,4.5,124,San Diego,CA
226,South Park Fitness,4.8,72,San Diego,CA
227,Landform Fitness,4.9,115,San Diego,CA
228,Anytime Fitness,4.6,201,San Diego,CA
229,Xplicit Fitness,4.9,141,San Diego,CA
230,Chuze Fitness,4.4,905,San Diego,CA
231,Convoy Strength,4.8,123,San Diego,CA
232,Balanced Fitness & Health,4.9,40,San Diego,CA
233,Locomotion Athletics | The Warehouse,5.0,119,San Diego,CA
234,Athletic Republic San Diego,4.9,27,San Diego,CA
235,BUILD Private Access Gym,5.0,35,San Diego,CA
236,The Gym,4.0,440,San Diego,CA
237,Elite Training San Diego,5.0,138,San Diego,CA
238,Activate House,4.9,197,San Diego,CA
239,The Compound Lifting Club,4.6,84,San Diego,CA
240,RESET,4.8,152,San Diego,CA
241,24 Hour Fitness,4.1,428,San Diego,CA
242,Broadway Athletic and Swim Club,4.6,163,San Diego,CA
243,Barry's San Diego,4.8,156,San Diego,CA
244,Point Loma Sports Club,4.7,74,San Diego,CA
245,Invictus Fitness,4.9,215,San Diego,CA
246,Fit East Village,4.3,242,San Diego,CA
247,The Gym In Mission Hills,5.0,18,San Diego,CA
248,Werk Fitness Personal Training - San Diego,4.9,36,San Diego,CA
249,Trophy Fitness Downtown,4.8,161,Dallas,TX
250,Recess Fitness Club,4.7,570,Dallas,TX
251,Trophy Fitness Uptown,4.8,155,Dallas,TX
252,Colaw Fitness of Dallas Gyms,4.9,"6,862",Dallas,TX
253,EVOLVE,4.7,140,Dallas,TX
254,Legends Fit,4.4,137,Dallas,TX
255,Cowboys Fit,4.4,226,Dallas,TX
256,LA Fitness,4.0,"1,733",Dallas,TX
257,Inspire Fitness Dallas,4.9,53,Dallas,TX
258,Athletic Zone,4.8,70,Dallas,TX
259,Trophy Fitness Mockingbird,4.8,77,Dallas,TX
260,Verandah Athletic Club & Spa,4.7,114,Dallas,TX
261,Oak Cliff Muscle Factory,4.8,57,Dallas,TX
262,Fitness Connection,4.7,"4,170",Dallas,TX
263,Hunger in the Wild Gym,5.0,296,Dallas,TX
264,Anytime Fitness Bishop Arts District Dallas TX,4.7,362,Dallas,TX
265,Colaw Fitness Personal Training,5.0,566,Dallas,TX
266,Texas Gym,4.6,239,Dallas,TX
267,Phoenix Fitness Dallas Personal Training,5.0,7,Dallas,TX
268,Orangetheory Fitness,4.8,193,Dallas,TX
269,Peak Zone Fitness,4.8,167,Dallas,TX
270,Fit Social Club,4.9,91,Dallas,TX
271,MVEMENT,5.0,95,Dallas,TX
272,VFit,4.4,254,Dallas,TX
273,The Gym of Social Mechanics,5.0,65,Dallas,TX
274,Diesel Fitness,4.1,121,Dallas,TX
275,PARADIGM Gym 24hr,4.8,113,Dallas,TX
276,SWEAT Dallas,4.8,56,Dallas,TX
277,Vantage Elite Fitness,4.9,28,Dallas,TX
278,Lift House Fitness,4.9,44,Dallas,TX
279,JOHN REED Fitness,4.4,242,Dallas,TX
280,Barry's Dallas,4.7,184,Dallas,TX
281,Texas Health Finley Ewing Cardiovascular & Fitness Center,4.6,82,Dallas,TX
282,Alpha Strength and Conditioning,4.9,63,Dallas,TX
283,Manifest Fitness Institute,4.9,133,Dallas,TX
284,Compendi Strength & Conditioning,4.7,31,Dallas,TX
285,Eve.,4.9,41,Dallas,TX
286,Class Studios,4.8,259,Dallas,TX
287,Svelte Performance,4.7,85,Dallas,TX
288,Starting Strength Dallas,5.0,137,Dallas,TX
289,D-Town CrossFit,4.8,156,Dallas,TX
290,SculptHouse Dallas,4.8,150,Dallas,TX
291,Clairevista Holistic Health & Fitness,4.9,71,Dallas,TX
292,GRIT Fitness - SMU Blvd,5.0,243,Dallas,TX
293,Vickery Athletics,5.0,205,Dallas,TX
294,Fit180 Private Training Studio,5.0,30,Dallas,TX
295,Jungle Studio Fitness - Bishop Arts,4.5,129,Dallas,TX
296,Vim + Vigor Fitness,4.7,"1,096",San Jose,CA
297,The Plex Athletic Club,4.3,239,San Jose,CA
298,WESTCA,4.9,248,San Jose,CA
299,YBX Fitness,4.8,132,San Jose,CA
300,Croga Fitness - Gym,5.0,109,San Jose,CA
