#,Gym Name,Rating,Reviews,City,State
601,Snap Fitness Charlotte,4.0,39,Charlotte,NC
602,CORE 704 - NoDa,4.8,96,Charlotte,NC
603,MG Body Space,5.0,75,Charlotte,NC
604,Five Rings Strength & Conditioning,4.7,13,Charlotte,NC
605,Linny Mac's Powerhouse Gym,4.9,14,Charlotte,NC
606,One Athletics,4.5,84,Charlotte,NC
607,Oak Performance & Wellness,5.0,42,Charlotte,NC
608,F45 Training Cotswold,4.9,58,Charlotte,NC
609,Megaflex Gym Northlake,5.0,18,Charlotte,NC
610,The Underground Effect,4.3,6,Charlotte,NC
611,Dowd YMCA,4.0,457,Charlotte,NC
612,SWEAT440 Fitness NoDa,5.0,341,Charlotte,NC
613,THE CLUB,4.7,114,Charlotte,NC
614,Pure Grind Fitness & Performance,5.0,11,Charlotte,NC
615,You Vs Yourself,4.9,56,Charlotte,NC
616,Indy City Barbell - Gym in Indianapolis,4.8,139,Indianapolis,IN
617,ARC Fitness,4.9,313,Indianapolis,IN
618,EDGE Fitness & Strength,5.0,51,Indianapolis,IN
619,Anytime Fitness,4.4,246,Indianapolis,IN
620,Taylor Made Wellness,5.0,102,Indianapolis,IN
621,Get Fit Athletic Club,4.3,"1,668",Indianapolis,IN
622,F45 Training Indianapolis Downtown,5.0,91,Indianapolis,IN
623,Indianapolis Healthplex,4.6,459,Indianapolis,IN
624,Peak Fitness 24HR,4.6,113,Indianapolis,IN
625,Myriad Fitness + Yoga - Home of Myriad CrossFit,5.0,141,Indianapolis,IN
626,DYC Fitness,4.7,14,Indianapolis,IN
627,Boner Fitness & Learning Center at Chase Legacy Building,4.5,24,Indianapolis,IN
628,OneAmerica Tower Fitness Center,4.7,19,Indianapolis,IN
629,Omni Fitness,4.9,66,Indianapolis,IN
630,Lilly Life Fitness Center,4.9,10,Indianapolis,IN
631,Day Won Fitness,5.0,52,Indianapolis,IN
632,FGN Fitness,4.5,32,Indianapolis,IN
633,Fortitude Fitness,4.8,17,Indianapolis,IN
634,VASA Fitness,4.4,"1,067",Indianapolis,IN
635,Ft. Ben Fit,4.7,49,Indianapolis,IN
636,Exercise Inc,5.0,196,Indianapolis,IN
