#,Gym Name,Rating,Reviews,City,State
637,Orangetheory Fitness,4.9,184,Indianapolis,IN
638,Capture Fitness,4.9,27,Indianapolis,IN
639,Livrite Fitness,4.6,165,Indianapolis,IN
640,Planet Fitness,4.3,679,Indianapolis,IN
641,Fitness Zone at Boner Fitness & Learning Center,4.5,77,Indianapolis,IN
642,Indy Performance Authority,4.9,28,Indianapolis,IN
643,The Perfect Squat,5.0,59,Indianapolis,IN
644,Irsay Family YMCA at CityWay,4.4,543,Indianapolis,IN
645,Myriad Weightlifting,5.0,31,Indianapolis,IN
646,Top Level Gym,4.8,54,Indianapolis,IN
647,American Muscle Factory,4.9,248,Indianapolis,IN
648,Glutes 317,5.0,49,Indianapolis,IN
649,Training Point,4.9,35,Indianapolis,IN
650,Broad Ripple Fit Club,4.9,97,Indianapolis,IN
651,The Hot Room Downtown,4.9,497,Indianapolis,IN
652,North Mass Boulder,4.7,366,Indianapolis,IN
653,Avondale Meadows YMCA,4.5,166,Indianapolis,IN
654,National Institute for Fitness and Sport (NIFS),4.0,122,Indianapolis,IN
655,"Awaken: Strength Performance Wellness, LLC",5.0,70,Indianapolis,IN
656,Strength Factory,4.4,7,Indianapolis,IN
657,Studio 49 Fitness,5.0,3,Indianapolis,IN
658,Transformation Fitness and Wellness,4.7,14,Indianapolis,IN
659,Athenaeum Turner Gymnasium,4.6,18,Indianapolis,IN
660,M4G CrossFit,5.0,74,Indianapolis,IN
661,Mas Aesthetics,4.9,62,Indianapolis,IN
662,West Indy Barbell,4.9,105,Indianapolis,IN
663,IN Fitness Club,4.9,109,Indianapolis,IN
664,Invoke Studio,5.0,191,Indianapolis,IN
665,OrthoIndy Foundation YMCA,4.6,530,Indianapolis,IN
666,Mei Fitness - Southport,4.1,73,Indianapolis,IN
667,Legacy Barbell Club,5.0,67,Indianapolis,IN
668,Ardizzone & Nalley gym,4.7,37,Indianapolis,IN
669,Fit Flex Fly,4.9,65,Indianapolis,IN
670,Life Time,4.0,376,Indianapolis,IN
671,Mei Fitness - Keystone,4.5,128,Indianapolis,IN
672,Woodhouse Spa - Bottleworks,4.7,473,Indianapolis,IN
673,"The Alexander, Autograph Collection",4.4,"2,160",Indianapolis,IN
674,Broad Ripple Park Family Center & Park Office,4.2,50,Indianapolis,IN
675,Henry's Gymnasium,4.7,593,Seattle,WA
676,Seattle Athletic Club,4.3,172,Seattle,WA
677,Transform 180 Fitness - SLU Gym,4.9,360,Seattle,WA
678,Transform 180 Fitness - Belltown Gym,4.9,325,Seattle,WA
679,Cap Hill Fitness,5.0,277,Seattle,WA
680,Northwest Strong,4.9,136,Seattle,WA
681,Rain City Fit,4.8,365,Seattle,WA
682,Innovative Health Gym & Wellness Center,4.8,131,Seattle,WA
683,F45 Training Seattle Central District,5.0,348,Seattle,WA
684,Embody Strength and Wellness,4.9,69,Seattle,WA
685,Pro Fit Training Gym,4.7,103,Seattle,WA
686,TRIBE Fitness,4.9,253,Seattle,WA
687,The Seattle Gym,4.2,168,Seattle,WA
688,Olympic Athletic Club,4.3,575,Seattle,WA
689,Ampersand Fitness,4.7,230,Seattle,WA
690,Ballard Health Club,4.7,300,Seattle,WA
691,Washington Athletic Club,4.5,277,Seattle,WA
692,FUELhouse Gym,5.0,133,Seattle,WA
693,Starr Weight Training Gym,5.0,52,Seattle,WA
694,Orangetheory Fitness,4.3,185,Seattle,WA
695,Transform 180 Fitness - Madison Park Gym,4.8,89,Seattle,WA
696,Green Lake Strength & Conditioning,4.9,340,Seattle,WA
697,"Cue Fitness - Seattle, WA",4.8,140,Seattle,WA
698,Emerald City Athletics - Columbia City,4.8,"1,356",Seattle,WA
699,Barry's Seattle,4.6,181,Seattle,WA
700,Vice Athletics | Seattle’s Strength & Sports Performance Gym,4.9,61,Seattle,WA
